Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ASSIGN, Lexema: ASSIGN, Línea: 12, Columna: 11, Tabla: N/A
Token: ID, Lexema: x, Línea: 12, Columna: 13, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 12, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 12, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 12, Columna: 19, Tabla: N/A
Token: IF, Lexema: IF, Línea: 14, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 14, Columna: 12, Tabla: N/A
Token: ID, Lexema: x, Línea: 14, Columna: 14, Tabla: VARIABLES
Token: EQ, Lexema: EQ, Línea: 14, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 14, Columna: 19, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 14, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 14, Columna: 23, Tabla: N/A
Token: SYMBOL_9, Lexema: SYMBOL_9, Línea: 15, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 15, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 16, Columna: 9, Tabla: N/A
Token: IF, Lexema: IF, Línea: 18, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 18, Columna: 12, Tabla: N/A
Token: ID, Lexema: x, Línea: 18, Columna: 14, Tabla: VARIABLES
Token: EQ, Lexema: EQ, Línea: 18, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 6, Línea: 18, Columna: 19, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 18, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 18, Columna: 23, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 19, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 19, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 20, Columna: 9, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 22, Columna: 5, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 22, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 22, Columna: 13, Tabla: N/A
Token: ID, Lexema: x, Línea: 22, Columna: 15, Tabla: VARIABLES
Token: GT, Lexema: GT, Línea: 22, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 22, Columna: 19, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 22, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 22, Columna: 22, Tabla: N/A
Token: INT, Lexema: INT, Línea: 24, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: option, Línea: 24, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 24, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 24, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 24, Columna: 19, Tabla: N/A
Token: SWITCH, Lexema: SWITCH, Línea: 25, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 12, Tabla: N/A
Token: ID, Lexema: option, Línea: 25, Columna: 14, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 25, Columna: 23, Tabla: N/A
Token: CASE, Lexema: CASE, Línea: 26, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 26, Columna: 14, Tabla: N/A
Token: COLON, Lexema: COLON, Línea: 26, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 27, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 27, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 100, Línea: 27, Columna: 21, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 27, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 27, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 28, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 28, Columna: 19, Tabla: N/A
Token: CASE, Lexema: CASE, Línea: 29, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 2, Línea: 29, Columna: 14, Tabla: N/A
Token: COLON, Lexema: COLON, Línea: 29, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 30, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 30, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 200, Línea: 30, Columna: 21, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 30, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 30, Columna: 27, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 31, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 31, Columna: 19, Tabla: N/A
Token: CASE, Lexema: CASE, Línea: 32, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 3, Línea: 32, Columna: 14, Tabla: N/A
Token: COLON, Lexema: COLON, Línea: 32, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 33, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 33, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 300, Línea: 33, Columna: 21, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 33, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 27, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 34, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 34, Columna: 19, Tabla: N/A
Token: DEFAULT, Lexema: DEFAULT, Línea: 35, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: COLON, Lexema: COLON, Línea: 35, Columna: 16, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 36, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 36, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 999, Línea: 36, Columna: 21, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 36, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 36, Columna: 27, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 37, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 37, Columna: 19, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 38, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 39, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 41, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testArrays, Línea: 41, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 41, Columna: 17, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 41, Columna: 19, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 41, Columna: 21, Tabla: N/A
Token: INT, Lexema: INT, Línea: 42, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: arr, Línea: 42, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 42, Columna: 13, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 14, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 42, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 17, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 42, Columna: 19, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 21, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 22, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 42, Columna: 23, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 42, Columna: 25, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 42, Columna: 27, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 28, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 29, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 30, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 42, Columna: 31, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 32, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 42, Columna: 33, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 34, Tabla: N/A
Token: INT_LITERAL, Lexema: 6, Línea: 42, Columna: 35, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 36, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 37, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 42, Columna: 38, Tabla: N/A
Token: INT_LITERAL, Lexema: 7, Línea: 42, Columna: 39, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 40, Tabla: N/A
Token: INT_LITERAL, Lexema: 8, Línea: 42, Columna: 41, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 42, Columna: 42, Tabla: N/A
Token: INT_LITERAL, Lexema: 9, Línea: 42, Columna: 43, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 44, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 42, Columna: 45, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 42, Columna: 46, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 43, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 43, Columna: 9, Tabla: N/A
Token: INT, Lexema: INT, Línea: 43, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 43, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 43, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 43, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 43, Columna: 18, Tabla: N/A
Token: ID, Lexema: i, Línea: 43, Columna: 20, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 43, Columna: 22, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 43, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 43, Columna: 25, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 43, Columna: 27, Tabla: N/A
Token: ID, Lexema: i, Línea: 43, Columna: 29, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 43, Columna: 31, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 43, Columna: 33, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 44, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 44, Columna: 13, Tabla: N/A
Token: INT, Lexema: INT, Línea: 44, Columna: 15, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: j, Línea: 44, Columna: 19, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 44, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 44, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 44, Columna: 22, Tabla: N/A
Token: ID, Lexema: j, Línea: 44, Columna: 24, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 44, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 44, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 44, Columna: 30, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 44, Columna: 32, Tabla: N/A
Token: ID, Lexema: j, Línea: 44, Columna: 34, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 44, Columna: 36, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 44, Columna: 38, Tabla: N/A
Token: read, Lexema: read, Línea: 45, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 45, Columna: 18, Tabla: N/A
Token: ID, Lexema: arr, Línea: 45, Columna: 20, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 45, Columna: 23, Tabla: N/A
Token: ID, Lexema: i, Línea: 45, Columna: 24, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 45, Columna: 25, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 45, Columna: 26, Tabla: N/A
Token: ID, Lexema: j, Línea: 45, Columna: 27, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 45, Columna: 28, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 45, Columna: 30, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 45, Columna: 32, Tabla: N/A
Token: IF, Lexema: IF, Línea: 47, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 47, Columna: 16, Tabla: N/A
Token: ID, Lexema: arr, Línea: 47, Columna: 18, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 47, Columna: 21, Tabla: N/A
Token: ID, Lexema: i, Línea: 47, Columna: 22, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 47, Columna: 23, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 47, Columna: 24, Tabla: N/A
Token: ID, Lexema: j, Línea: 47, Columna: 25, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 47, Columna: 26, Tabla: N/A
Token: GT, Lexema: GT, Línea: 47, Columna: 28, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 47, Columna: 30, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 47, Columna: 32, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 47, Columna: 34, Tabla: N/A
Token: ID, Lexema: arr, Línea: 48, Columna: 17, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 48, Columna: 20, Tabla: N/A
Token: ID, Lexema: i, Línea: 48, Columna: 21, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 48, Columna: 22, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 48, Columna: 23, Tabla: N/A
Token: ID, Lexema: j, Línea: 48, Columna: 24, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 48, Columna: 25, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 48, Columna: 27, Tabla: N/A
Token: ID, Lexema: factorial, Línea: 48, Columna: 29, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 48, Columna: 39, Tabla: N/A
Token: ID, Lexema: arr, Línea: 48, Columna: 41, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 48, Columna: 44, Tabla: N/A
Token: ID, Lexema: i, Línea: 48, Columna: 45, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 48, Columna: 46, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 48, Columna: 47, Tabla: N/A
Token: ID, Lexema: j, Línea: 48, Columna: 48, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 48, Columna: 49, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 48, Columna: 51, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 48, Columna: 52, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 49, Columna: 13, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 50, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 50, Columna: 19, Tabla: N/A
Token: ID, Lexema: arr, Línea: 50, Columna: 21, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 50, Columna: 24, Tabla: N/A
Token: ID, Lexema: i, Línea: 50, Columna: 25, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 50, Columna: 26, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 50, Columna: 27, Tabla: N/A
Token: ID, Lexema: j, Línea: 50, Columna: 28, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 50, Columna: 29, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 50, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 50, Columna: 33, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 51, Columna: 9, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 52, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 53, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 55, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 55, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 55, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 55, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 55, Columna: 15, Tabla: N/A
Token: ID, Lexema: testArrays, Línea: 56, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 56, Columna: 16, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 56, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 56, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 57, Columna: 1, Tabla: N/A
